epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,833.525,0.3162,0.60057,0.88413,0.98121,0.97165,0.99186,0.95797,0.20953,0.27761,0.72623,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,862.599,0.3054,0.58447,0.88029,0.97503,0.96514,0.98622,0.93548,0.25647,0.30263,0.74179,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,889.114,0.31317,0.57501,0.88699,0.97722,0.96822,0.99047,0.95955,0.20089,0.26423,0.72441,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,916.411,0.30298,0.58807,0.88227,0.96326,0.96891,0.98708,0.95004,0.22398,0.27821,0.73251,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,942.883,0.29552,0.56189,0.87887,0.97681,0.97009,0.98929,0.96069,0.19196,0.2532,0.71922,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,972.487,0.30442,0.55944,0.88447,0.9835,0.97512,0.9929,0.96721,0.19255,0.24507,0.72016,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,1003.34,0.30654,0.57306,0.88296,0.98429,0.97196,0.9923,0.96854,0.18657,0.24959,0.72128,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,1029.12,0.29082,0.54673,0.87912,0.98413,0.9772,0.9927,0.96809,0.18835,0.24639,0.72078,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,1056.42,0.29502,0.55221,0.87631,0.9768,0.96161,0.99013,0.96794,0.18064,0.2558,0.71787,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,1083.79,0.28261,0.53526,0.87536,0.9748,0.97439,0.99211,0.96799,0.18579,0.24239,0.71846,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,1110.42,0.28212,0.52871,0.87428,0.97878,0.98024,0.99345,0.97284,0.17478,0.23046,0.71582,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,1139.88,0.23531,0.77099,0.82446,0.97153,0.96869,0.989,0.9618,0.20445,0.26164,0.72376,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,1168.44,0.22327,0.74542,0.81052,0.98826,0.96906,0.99309,0.96961,0.19006,0.24792,0.72117,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,1195.97,0.21683,0.72528,0.80768,0.97583,0.98248,0.99351,0.96671,0.19731,0.24222,0.7256,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,1221.68,0.21043,0.70538,0.8112,0.97047,0.93716,0.97833,0.95408,0.19576,0.2823,0.72363,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,1247.5,0.20409,0.71091,0.8094,0.98845,0.97549,0.9937,0.97341,0.18137,0.23182,0.7183,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,1274.11,0.21589,0.70471,0.80961,0.97457,0.97561,0.99084,0.9709,0.18156,0.2441,0.71961,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,1300.48,0.20485,0.70806,0.80764,0.98528,0.98197,0.99363,0.97372,0.18219,0.22463,0.71682,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,1327.2,0.20371,0.69292,0.80591,0.98403,0.96848,0.99213,0.9723,0.18086,0.23071,0.71672,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,1352.24,0.19706,0.68069,0.80127,0.98797,0.98533,0.99417,0.97503,0.17278,0.21572,0.71526,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,1377.94,0.19275,0.68028,0.80284,0.98822,0.98363,0.99405,0.97562,0.17017,0.21492,0.71502,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
