epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
12,433.101,0.3867,0.28569,0.90029,0.98258,0.98452,0.98538,0.9481,0.29203,0.24693,0.82817,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911,0.0026733,0.0008911
13,469.695,0.3812,0.27718,0.8971,0.98894,0.99123,0.98805,0.95377,0.29461,0.21848,0.82713,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812,0.0026436,0.0008812
14,503.67,0.37054,0.26817,0.88859,0.98735,0.98912,0.98896,0.94962,0.30969,0.23122,0.829,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713,0.0026139,0.0008713
15,539.588,0.3885,0.27172,0.89435,0.9883,0.99123,0.98474,0.95752,0.29322,0.22398,0.82172,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614,0.0025842,0.0008614
16,574.234,0.36697,0.25843,0.88005,0.98851,0.99793,0.995,0.96195,0.29689,0.2078,0.82554,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
17,608.756,0.38423,0.25866,0.90494,0.98931,0.99459,0.995,0.95615,0.30372,0.21354,0.82942,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416,0.0025248,0.0008416
18,643.172,0.37111,0.25575,0.89788,0.98942,0.99123,0.98765,0.9578,0.2961,0.2215,0.8303,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317,0.0024951,0.0008317
19,677.905,0.36252,0.25136,0.89641,0.99536,1,0.995,0.96021,0.3032,0.21161,0.8341,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218,0.0024654,0.0008218
20,711.524,0.36138,0.24703,0.89214,0.98963,0.99123,0.99392,0.96457,0.29883,0.21682,0.84027,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119,0.0024357,0.0008119
21,746.565,0.35081,0.23921,0.88953,0.98327,0.98408,0.9929,0.95903,0.29474,0.23606,0.83499,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
22,783,0.35403,0.23594,0.88786,0.98988,0.99199,0.9937,0.96716,0.28434,0.20679,0.83479,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921,0.0023763,0.0007921
23,817.644,0.3514,0.23428,0.88739,0.98985,0.99123,0.98385,0.95006,0.29083,0.22934,0.84319,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822,0.0023466,0.0007822
24,854.247,0.34748,0.23406,0.88954,0.98958,0.99172,0.99471,0.9618,0.28836,0.20815,0.83816,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723,0.0023169,0.0007723
25,889.242,0.3378,0.22487,0.88287,0.98953,0.99123,0.98966,0.95389,0.30254,0.21132,0.82826,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624,0.0022872,0.0007624
26,924.792,0.34241,0.22899,0.88295,0.98958,0.99123,0.98617,0.95323,0.29753,0.2199,0.82466,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
27,959.411,0.32685,0.21728,0.87472,0.9897,0.99213,0.9921,0.95809,0.29659,0.18288,0.82599,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426,0.0022278,0.0007426
28,993.628,0.33369,0.2179,0.87694,0.98892,0.99463,0.995,0.96277,0.28611,0.18449,0.8233,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327,0.0021981,0.0007327
29,1028.21,0.32848,0.21734,0.88001,0.99672,1,0.995,0.97169,0.28528,0.17195,0.82546,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228,0.0021684,0.0007228
30,1064.59,0.32675,0.2143,0.8741,0.99043,0.99613,0.995,0.96907,0.27412,0.17832,0.81882,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129,0.0021387,0.0007129
31,1098.58,0.32191,0.2087,0.8734,0.99655,1,0.995,0.9651,0.27774,0.16968,0.82142,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,1133.92,0.32012,0.21033,0.87657,0.99534,1,0.995,0.96033,0.28612,0.17609,0.82038,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,1167.5,0.31342,0.20641,0.86933,0.99538,1,0.995,0.96562,0.27087,0.16715,0.81712,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,1202.2,0.32639,0.21316,0.87595,0.98974,0.99123,0.99458,0.96112,0.27287,0.18086,0.81645,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,1237.73,0.31691,0.2059,0.87136,0.98837,0.99123,0.99458,0.96731,0.26951,0.17609,0.81998,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,1273.76,0.32548,0.20649,0.87093,0.98961,0.99123,0.99393,0.96245,0.27554,0.18354,0.82118,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,1307.8,0.32168,0.20505,0.8785,0.99038,0.99171,0.995,0.96627,0.28025,0.17844,0.81834,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,1344.08,0.31553,0.20363,0.87064,0.99149,0.99193,0.995,0.97062,0.27768,0.17225,0.82086,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,1380.31,0.30289,0.19543,0.86742,0.99779,0.99371,0.995,0.96629,0.2784,0.16002,0.81937,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,1415.7,0.30709,0.19417,0.86718,0.99667,0.98438,0.99471,0.96937,0.27365,0.16725,0.81613,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,1450.73,0.30475,0.19962,0.86885,0.99634,1,0.995,0.96435,0.28273,0.16746,0.81878,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
42,1488.12,0.30385,0.19822,0.87014,0.98893,0.98486,0.99429,0.96895,0.27701,0.17658,0.82268,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,1523.25,0.30805,0.19703,0.87703,0.97245,0.99902,0.98783,0.95976,0.27849,0.21229,0.82098,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,1559.29,0.30129,0.19664,0.87118,0.99009,0.99176,0.99138,0.96218,0.27934,0.17383,0.82018,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,1594.17,0.3039,0.19099,0.86965,0.99039,0.99123,0.9848,0.9591,0.28323,0.18732,0.81657,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,1629.03,0.28361,0.18684,0.86125,0.99049,0.99123,0.99429,0.96483,0.27915,0.17254,0.82309,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,1664.31,0.29733,0.18973,0.87273,0.98955,0.99086,0.98534,0.95881,0.27883,0.18862,0.82224,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,1699.91,0.28829,0.18788,0.85807,0.99087,0.99167,0.9937,0.96988,0.27496,0.16656,0.82125,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,1735.69,0.2883,0.18612,0.8649,0.99429,0.99868,0.995,0.96782,0.27519,0.15142,0.81555,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
