epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.1374,0.59117,2.98255,1.05982,0.73718,0.87837,0.83574,0.77704,0.3635,1.75204,0.86564,0.000987952,0.000329317,0.000987952,0.000329317,0.000987952,0.000329317,0.000987952,0.000329317
2,83.6244,0.47453,1.14297,0.96882,0.95258,0.98759,0.9894,0.93896,0.31975,0.50035,0.84402,0.00196827,0.00065609,0.00196827,0.00065609,0.00196827,0.00065609,0.00196827,0.00065609
3,119.207,0.43665,0.63175,0.93747,0.98574,0.98695,0.98439,0.93827,0.30824,0.29249,0.83224,0.00292879,0.000976263,0.00292879,0.000976263,0.00292879,0.000976263,0.00292879,0.000976263
4,153.233,0.43896,0.48237,0.9273,0.98863,0.99123,0.98859,0.94834,0.29516,0.26462,0.83453,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703,0.0029109,0.0009703
5,189.587,0.41377,0.38738,0.91654,0.98909,0.99123,0.98656,0.93759,0.32034,0.25405,0.83979,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604,0.0028812,0.0009604
6,223.691,0.40379,0.34547,0.90462,0.98932,0.99123,0.98865,0.94731,0.32587,0.24616,0.83601,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
7,257.689,0.40955,0.32369,0.90892,0.98254,0.99559,0.99341,0.95705,0.30671,0.22919,0.82991,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406,0.0028218,0.0009406
8,292.207,0.41297,0.32083,0.91299,0.9813,0.99123,0.98264,0.94248,0.30729,0.24821,0.83728,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307,0.0027921,0.0009307
9,326.227,0.41238,0.30946,0.91597,0.9797,0.98526,0.98562,0.94539,0.30372,0.24247,0.84261,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208,0.0027624,0.0009208
10,363.505,0.39835,0.29136,0.9023,0.98831,0.9917,0.99007,0.95489,0.29794,0.21884,0.83789,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109,0.0027327,0.0009109
11,397.794,0.38091,0.28455,0.90222,0.98943,0.99123,0.98835,0.9483,0.30587,0.23211,0.83918,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
