epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1077.79,0.3335,0.2186,0.87883,0.99694,1,0.995,0.9593,0.30004,0.17811,0.81392,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
32,1112.37,0.33435,0.22417,0.8789,0.99756,1,0.995,0.96447,0.28517,0.16479,0.81496,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931,0.0020793,0.0006931
33,1145.73,0.32654,0.21675,0.87392,0.99756,1,0.995,0.96039,0.28606,0.17333,0.81619,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832,0.0020496,0.0006832
34,1179.88,0.31476,0.21387,0.87076,0.99708,1,0.995,0.96036,0.30072,0.18992,0.81562,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733,0.0020199,0.0006733
35,1212.55,0.31953,0.20624,0.86806,0.99751,1,0.995,0.96697,0.29256,0.17035,0.81563,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634,0.0019902,0.0006634
36,1245.8,0.3287,0.20738,0.87752,0.99735,1,0.995,0.96589,0.29153,0.17357,0.81482,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
37,1278.82,0.31843,0.20497,0.87843,0.99735,1,0.995,0.96531,0.28557,0.17072,0.81331,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436,0.0019308,0.0006436
38,1311.99,0.31186,0.20616,0.872,0.99794,1,0.995,0.95929,0.29888,0.17792,0.81107,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337,0.0019011,0.0006337
39,1346.88,0.3224,0.20467,0.88018,0.99777,1,0.995,0.96042,0.29721,0.16909,0.81535,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238,0.0018714,0.0006238
40,1380.47,0.31009,0.20202,0.8632,0.9971,1,0.995,0.96438,0.29027,0.16645,0.80913,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139,0.0018417,0.0006139
41,1414.57,0.3006,0.19587,0.86648,0.99756,1,0.995,0.96327,0.27625,0.16922,0.8051,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
